"Number","Title","Artist"
"1","Journey Song","Anupam Roy"
"2","Ik Vaari Aa","Arijit Singh"
"3","Subhanallah","Sreeram Chandra"
"4","Sau Aasmaan","Armaan Malik"
"5","Ilahi","Arijit Singh"
"6","Raabta","Arijit Singh"
"7","Love You Zindagi","Jasleen Royal"
"8","Matargashti","Mohit Chauhan"
"9","Khairiyat","Pritam"
"10","Hawayein","Arijit Singh"
"11","Tera Yaar Hoon Main","Arijit Singh"
"12","Tum Hi Ho","Mithoon"
"13","Kabira","Tochi Raina"
"14","Hamari Adhuri Kahani (Title Track)","Arijit Singh"
"15","Vaaste","Dhvani Bhanushali"
"16","Buddhu Sa Mann","Armaan Malik"
"17","Mast Magan","Arijit Singh"
"18","Naina Da Kya Kasoor","Amit Trivedi"
"19","Makhna","Yasser Desai"
"20","Jab Tak","Armaan Malik"
"21","Jeena Jeena","Sachin-Jigar"
"22","Samjhawan (From ""Humpty Sharma Ki Dulhania"")","Toshi Sabri"
"23","Pani da Rang (Male)","Ayushmann Khurrana"
"24","Raanjhanaa (From ""Raanjhanaa"")","A. R. Rahman"
"25","Ae Dil Hai Mushkil Title Track","Arijit Singh"
"26","Qaafirana","Arijit Singh"
"27","Bom Diggy Diggy (From ""Sonu Ke Titu Ki Sweety"")","Zack Knight"
"28","Ghungroo","Vishal-Sheykhar"
"29","Patakha Guddi","Sultana"
"30","The Breakup Song","Nakash Aziz"
"31","Khaabon Ke Parinday","Alyssa Mendonsa"
"32","Sooraj Dooba Hain","Arijit Singh"
"33","Chammak Challo","Akon"
"34","Photo (From ""Luka Chuppi"")","Karan Sehmbi"
"35","Kala Chashma","Amar Arshi"
"36","Zaalima","Arijit Singh"
"37","Subha Hone Na De","Mika Singh"
"38","Agar Tum Saath Ho","Alka Yagnik"
"39","Abhi Mujh Mein Kahin","Sonu Nigam"
"40","Raat Bhar","Arijit Singh"
"41","The Humma Song (From ""OK Jaanu"")","Badshah"
"42","Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")","Arijit Singh"
"43","Ambarsariya","Sona Mohapatra"
"44","Dil Chori","Yo Yo Honey Singh"
"45","Aashiyan","Shreya Ghoshal"
"46","Dil Dhadakne Do","Joi Barua"
"47","Dilliwaali Girlfriend","Arijit Singh"
"48","Nashe Si Chadh Gayi","Vishal-Sheykhar"
"49","Sun Saathiya","Priya Saraiya"
"50","Main Dhoondne Ko Zamaane Mein","Arijit Singh"
"51","Lazy Lad","Richa Sharma"
"52","Character Dheela","Neeraj Shridhar"
"53","Tareefan","QARAN"
"54","Laung Da Lashkara","Mahalakshmi Iyer"
"55","Lat Lag Gayee","Benny Dayal"
"56","Saadi Galli Aaja (From ""Nautanki Saala !"")","Ayushmann Khurrana"
"57","Kar Gayi Chull (From ""Kapoor & Sons (Since 1921)"")","Amaal Mallik"
